district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,VEGETABLE MARKET,domestic,1,2,2.0,955,12.0
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,VIGYANAPURI,domestic,1,1,1.0,111,5.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,ADIKMET,non-domestic and commercial,2,1,1.0,10,3.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,ADIKMET ( N ),domestic,1,6,6.0,2244,23.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,ADIKMET ( S) WADDER BASTHI,domestic,1,1,1.0,0,4.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,AMBER NAGAR (NORTH),domestic,1,3,3.0,866,15.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,GRC HV VIJAY NAGAR CLY,general purpose,7,3,3.0,547,21.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,HABEEB NAGAR,domestic,1,3,3.0,357,9.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,V N C MAHILAMANDALI,domestic,1,1,1.0,657,10.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,V N C MEENA GARDEN,domestic,1,1,1.0,750,5.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,V N COLONY 2RT,domestic,1,2,2.0,422,8.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Vijaya nagar colony,V N COLONY MIGH,domestic,1,1,1.0,464,5.0
Hyderabad central,Mehdipatnam,GOLCONDA,Langer house,MARUTHI NAGAR,domestic,1,3,3.0,763,8.6
Hyderabad central,Mehdipatnam,GOLCONDA,Langer house,NET METETERS,domestic,1,37,37.0,11074,214.0
Hyderabad central,Mehdipatnam,GOLCONDA,Langer house,NET METETERS,non-domestic and commercial,2,6,6.0,2452,79.0
Hyderabad central,Mehdipatnam,GOLCONDA,Langer house,NET METETERS,general purpose,7,2,2.0,82,8.0
Hyderabad central,Mehdipatnam,GOLCONDA,Langer house,NETHAJI NAGAR/SRINIVASNAGAR,domestic,1,2,2.0,496,16.0
Hyderabad central,Mehdipatnam,GOLCONDA,Langer house,PENSIONPURA (NORTH),domestic,1,1,1.0,268,5.0
